player_name,player_id,id_num
Stephen Curry,curryst01,1
Nikola Jokic,jokicni01,2
James Harden,hardeja01,3
Chris Paul,paulch01,4
Draymond Green,greendr01,5
Paul George,georgpa01,6
Kevin Durant,duranke01,7
Kawhi Leonard,leonaka01,8
Anthony Davis,davisan02,9
LeBron James,jamesle01,10
Jimmy Butler,butleji01,11
Russell Westbrook,westbru01,12
Kevin Love,loveke01,13
Damian Lillard,lillada01,14
Jayson Tatum,tatumja01,15
Rudy Gobert,goberru01,16
Joel Embiid,embiijo01,17
Victor Oladipo,oladivi01,18
Joakim Noah,noahjo01,19
Kyle Lowry,lowryky01,20
Kemba Walker,walkeke02,21
Giannis Antetokounmpo,antetgi01,22
Mike Conley,conlemi01,23
Jrue Holiday,holidjr01,24
Kyrie Irving,irvinky01,25
Goran Dragic,dragigo01,26
Bradley Beal,bealbr01,27
Danny Green,greenda02,28
DeAndre Jordan,jordade01,29
Karl-Anthony Towns,townska01,30
Klay Thompson,thompkl01,31
Nikola Vucevic,vucevni01,32
Jusuf Nurkic,nurkiju01,33
Luka Doncic,doncilu01,34
Dirk Nowitzki,nowitdi01,35
DeMarcus Cousins,couside01,36
Robert Covington,covinro01,37
Trae Young,youngtr01,38
Carmelo Anthony,anthoca01,39
Isaiah Thomas,thomais02,40
Eric Bledsoe,bledser01,41
Blake Griffin,griffbl01,42
Fred VanVleet,vanvlfr01,43
John Wall,walljo01,44
Marc Gasol,gasolma01,45
Kyle Korver,korveky01,46
Khris Middleton,middlkh01,47
Andre Drummond,drumman01,48
Devin Booker,bookede01,49
Ben Simmons,simmobe01,50
Darius Garland,garlada01,51
Otto Porter Jr.,porteot01,52
LaMarcus Aldridge,aldrila01,53
Steven Adams,adamsst01,54
Ricky Rubio,rubiori01,55
Clint Capela,capelca01,56
Gordon Hayward,haywago01,57
CJ McCollum,mccolcj01,58
Julius Randle,randlju01,59
Al Horford,horfoal01,60
Danilo Gallinari,gallida01,61
JJ Redick,redicjj01,62
Mikal Bridges,bridgmi01,63
Wesley Matthews,matthwe02,64
Mario Chalmers,chalmma01,65
Derrick White,whitede01,66
Paul Millsap,millspa01,67
Robin Lopez,lopezro01,68
Kentavious Caldwell-Pope,caldwke01,69
Marvin Williams,willima02,70
Marcin Gortat,gortama01,71
Pascal Siakam,siakapa01,72
DeMarre Carroll,carrode01,73
Terry Rozier,roziete01,74
Nicolas Batum,batumni01,75
Marcus Smart,smartma01,76
Domantas Sabonis,sabondo01,77
DeMar DeRozan,derozde01,78
Joe Ingles,inglejo01,79
Dejounte Murray,murrade01,80
Lou Williams,willilo02,81
Trevor Ariza,arizatr01,82
Desmond Bane,banede01,83
Patrick Beverley,beverpa01,84
Tim Duncan,duncati01,85
Andre Iguodala,iguodan01,86
Pau Gasol,gasolpa01,87
Jakob Poeltl,poeltja01,88
Darren Collison,collida01,89
Donovan Mitchell,mitchdo01,90
Josh Richardson,richajo01,91
Tristan Thompson,thomptr01,92
Ty Lawson,lawsoty01,93
Zach Randolph,randoza01,94
Chandler Parsons,parsoch01,95
Derrick Favors,favorde01,96
Jarrett Allen,allenja01,97
Miles Bridges,bridgmi02,98
Brook Lopez,lopezbr01,99
Rudy Gay,gayru01,100
Manu Ginobili,ginobma01,101
George Hill,hillge01,102
Thaddeus Young,youngth01,103
Kristaps Porzingis,porzikr01,104
Serge Ibaka,ibakase01,105
Montrezl Harrell,harremo01,106
Jaylen Brown,brownja02,107
Anderson Varejao,varejan01,108
Tyson Chandler,chandty01,109
Deron Williams,willide01,110
Jeff Teague,teaguje01,111
Jeremy Lamb,lambje01,112
D'Angelo Russell,russeda01,113
David West,westda01,114
Alec Burks,burksal01,115
Jae Crowder,crowdja01,116
Hassan Whiteside,whiteha01,117
Tyrese Haliburton,halibty01,118
Bam Adebayo,adebaba01,119
LaMelo Ball,ballla01,120
Spencer Dinwiddie,dinwisp01,121
Channing Frye,fryech01,122
Immanuel Quickley,quickim01,123
Duncan Robinson,robindu01,124
Zion Williamson,willizi01,125
Tony Allen,allento01,126
Tobias Harris,harrito02,127
De'Aaron Fox,foxde01,128
James Johnson,johnsja01,129
Andre Roberson,roberan03,130
Patty Mills,millspa02,131
Nikola Mirotic,mirotni01,132
Monta Ellis,ellismo01,133
Malcolm Brogdon,brogdma01,134
Dwight Howard,howardw01,135
Gary Harris,harriga01,136
Vince Carter,cartevi01,137
PJ Tucker,tuckepj01,138
Jalen Brunson,brunsja01,139
Anthony Edwards,edwaran01,140
Ja Morant,moranja01,141
Kyle Anderson,anderky01,142
Michael Kidd-Gilchrist,kiddgmi01,143
Buddy Hield,hieldbu01,144
Roy Hibbert,hibbero01,145
Jamal Murray,murraja01,146
Luol Deng,denglu01,147
Joe Harris,harrijo01,148
Eric Gordon,gordoer01,149
Monte Morris,morrimo01,150
Tyreke Evans,evansty01,151
Jordan Clarkson,clarkjo01,152
Andrew Wiggins,wiggian01,153
Amir Johnson,johnsam01,154
Zach LaVine,lavinza01,155
Ersan Ilyasova,ilyaser01,156
Tim Hardaway Jr.,hardati02,157
Myles Turner,turnemy01,158
Mitchell Robinson,robinmi01,159
Reggie Jackson,jacksre01,160
Andrew Bogut,bogutan01,161
Jared Dudley,dudleja01,162
Dwight Powell,poweldw01,163
Davis Bertans,bertada01,164
Royce O'Neale,onealro01,165
Al Jefferson,jeffeal01,166
Robert Williams III,williro04,167
Ryan Anderson,anderry01,168
Will Barton,bartowi01,169
John Collins,collijo01,170
Tyler Johnson,johnsty01,171
Matt Barnes,barnema02,172
Garrison Mathews,mathega01,173
Nikola Pekovic,pekovni01,174
David Lee,leeda02,175
Gary Payton II,paytoga02,176
Anthony Morrow,morroan01,177
Cameron Johnson,johnsca02,178
Corey Brewer,breweco01,179
Franz Wagner,wagnefr01,180
Jonas Valanciunas,valanjo01,181
Ivica Zubac,zubaciv01,182
Paul Pierce,piercpa01,183
Donte DiVincenzo,divindo01,184
Rodney Hood,hoodro01,185
Christian Wood,woodch01,186
Greg Monroe,monrogr01,187
Luc Mbah a Moute,mbahalu01,188
Jaren Jackson Jr.,jacksja02,189
Al-Farouq Aminu,aminual01,190
Michael Porter Jr.,portemi01,191
Herbert Jones,joneshe01,192
Patrick Patterson,pattepa01,193
Zaza Pachulia,pachuza01,194
Taj Gibson,gibsota01,195
Delon Wright,wrighde01,196
Bobby Portis,portibo01,197
De'Anthony Melton,meltode01,198
Chris Bosh,boshch01,199
Gorgui Dieng,dienggo01,200
Dorian Finney-Smith,finnedo01,201
Shai Gilgeous-Alexander,gilgesh01,202
T.J. McConnell,mccontj01,203
Devonte' Graham,grahade01,204
Justin Holiday,holidju01,205
Scottie Barnes,barnesc01,206
Cory Joseph,josepco01,207
Seth Curry,curryse01,208
Ed Davis,davised01,209
Alex Caruso,carusal01,210
Enes Kanter,kanteen01,211
Aaron Gordon,gordoaa01,212
Jerami Grant,grantje01,213
Jarred Vanderbilt,vandeja01,214
Bogdan Bogdanovic,bogdabo01,215
JR Smith,smithjr01,216
Devin Harris,harride01,217
Nemanja Bjelica,bjeline01,218
Tyler Herro,herroty01,219
Larry Nance Jr.,nancela02,220
Josh McRoberts,mcrobjo01,221
Elfrid Payton,paytoel01,222
Marcus Morris,morrima03,223
Keldon Johnson,johnske04,224
Jared Sullinger,sullija01,225
Avery Bradley,bradlav01,226
Randy Foye,foyera01,227
Derrick Rose,rosede01,228
Kevon Looney,looneke01,229
Richaun Holmes,holmeri01,230
Courtney Lee,leeco01,231
Allen Crabbe,crabbal01,232
Marco Belinelli,belinma01,233
Timofey Mozgov,mozgoti01,234
Jeremy Lin,linje01,235
Brandon Ingram,ingrabr01,236
Terrence Ross,rosste01,237
Jordan Poole,poolejo01,238
T.J. Warren,warretj01,239
P.J. Tucker,tuckepj01,240
Mike Dunleavy,dunlemi02,241
Wilson Chandler,chandwi01,242
Harrison Barnes,barneha02,243
CJ Miles,milescj01,244
Ish Smith,smithis01,245
Gary Trent Jr.,trentga02,246
Kelly Olynyk,olynyke01,247
Shane Battier,battish01,248
Lonzo Ball,balllo01,249
Anthony Tolliver,tollian01,250
Matisse Thybulle,thybuma01,251
Kris Humphries,humphkr01,252
Matthew Dellavedova,dellama01,253
Deandre Ayton,aytonde01,254
Jonas Jerebko,jerebjo01,255
Tiago Splitter,splitti01,256
Bojan Bogdanovic,bogdabo02,257
Evan Fournier,fournev01,258
Deni Avdija,avdijde01,259
OG Anunoby,anunoog01,260
Dennis Schroder,schrode01,261
Kent Bazemore,bazemke01,262
Shaun Livingston,livinsh01,263
Yogi Ferrell,ferreyo01,264
Terance Mann,mannte01,265
Facundo Campazzo,campafa01,266
Cameron Payne,payneca01,267
Luguentz Dort,dortlu01,268
Cody Martin,martico01,269
Boris Diaw,diawbo01,270
Dario Saric,saricda01,271
Shabazz Napier,napiesh01,272
Tyus Jones,jonesty01,273
Jonathan Isaac,isaacjo01,274
Caleb Martin,martica02,275
Derek Fisher,fishede01,276
Jae'Sean Tate,tateja01,277
Maurice Harkless,harklma01,278
Dwyane Wade,wadedw01,279
Iman Shumpert,shumpim01,280
Joe Johnson,johnsjo02,281
Raul Neto,netora01,282
Dion Waiters,waitedi01,283
Malik Monk,monkma01,284
Jose Alvarado,alvarjo01,285
Norman Powell,powelno01,286
Cody Zeller,zelleco01,287
J.J. Barea,bareajo01,288
Aaron Holiday,holidaa01,289
Brandon Clarke,clarkbr01,290
Lance Stephenson,stephla01,291
Michael Carter-Williams,cartemi01,292
Langston Galloway,gallola01,293
Brandon Jennings,jennibr01,294
Garrett Temple,templga01,295
Chris Boucher,bouchch01,296
Luke Kennard,kennalu01,297
Dewayne Dedmon,dedmode01,298
Max Strus,strusma01,299
Rondae Hollis-Jefferson,holliro01,300
Wendell Carter Jr.,cartewe01,301
Nene,hilarne01,302
Kenneth Faried,farieke01,303
Maxi Kleber,klebima01,304
Josh Smith,smithjo03,305
Javonte Green,greenja02,306
Derrick Jones Jr.,jonesde02,307
Ben McLemore,mclembe01,308
Kirk Hinrich,hinriki01,309
Isaiah Hartenstein,harteis01,310
Gerald Henderson,hendege02,311
Chris Andersen,anderch01,312
Kris Dunn,dunnkr01,313
Thabo Sefolosha,sefolth01,314
Nick Young,youngni01,315
Markieff Morris,morrima02,316
Lauri Markkanen,markkla01,317
Tomas Satoransky,satorto01,318
Spencer Hawes,hawessp01,319
Tyrese Maxey,maxeyty01,320
Daniel Theis,theisda01,321
Jamal Crawford,crawfja01,322
RJ Barrett,barrerj01,323
Brandan Wright,wrighbr03,324
Brandon Knight,knighbr03,325
Bruce Brown,brownbr01,326
Josh Hart,hartjo01,327
Ian Mahinmi,mahinia01,328
Austin Reaves,reaveau01,329
Gerald Green,greenge01,330
Pat Connaughton,connapa01,331
Aron Baynes,baynear01,332
Omer Asik,asikom01,333
Marcus Morris Sr.,morrima03,334
Dillon Brooks,brookdi01,335
JaVale McGee,mcgeeja01,336
Isaiah Stewart,stewais01,337
Mason Plumlee,plumlma01,338
Caris LeVert,leverca01,339
Omri Casspi,casspom01,340
Jason Terry,terryja01,341
JaMychal Green,greenja01,342
Wayne Ellington,ellinwa01,343
D.J. Augustin,augusdj01,344
C.J. Watson,watsocj01,345
Rajon Rondo,rondora01,346
Luis Scola,scolalu01,347
Alan Anderson,anderal01,348
Jose Calderon,caldejo01,349
Donatas Motiejunas,motiedo01,350
Rodney Stuckey,stuckro01,351
Kenrich Williams,willike04,352
Tre Jones,jonestr01,353
Jodie Meeks,meeksjo01,354
Grayson Allen,allengr01,355
Kyle Singler,singlky01,356
Trevor Booker,booketr01,357
Pablo Prigioni,prigipa01,358
Kelly Oubre Jr.,oubreke01,359
Kevin Porter Jr.,porteke02,360
Furkan Korkmaz,korkmfu01,361
Mirza Teletovic,teletmi01,362
Josh Okogie,okogijo01,363
Reggie Bullock,bullore01,364
Terence Davis,daviste02,365
Nick Collison,collini01,366
Tony Parker,parketo01,367
Justise Winslow,winslju01,368
Kyle O'Quinn,oquinky01,369
