NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Stephen Curry,GS,9.02,0.19,9.21,3.04,23,22023,1.0
Luka Doncic,DAL,7.9,1.21,9.11,3.47,23,22023,34.0
Jayson Tatum,BOS,6.76,1.13,7.9,2.66,23,22023,15.0
Giannis Antetokounmpo,MIL,5.73,1.48,7.21,2.24,23,22023,22.0
Nikola Jokic,DEN,4.56,1.64,6.2,2.23,23,22023,2.0
Donovan Mitchell,CLE,5.65,-0.49,5.15,1.95,23,22023,90.0
James Harden,PHI,4.23,0.3,4.52,1.72,23,22023,3.0
Tyrese Haliburton,IND,4.76,-0.26,4.5,2.06,23,22023,118.0
Damian Lillard,POR,6.49,-2.04,4.45,1.17,23,22023,14.0
Kyrie Irving,BKN,4.25,0.15,4.41,1.63,23,22023,25.0
Lauri Markkanen,UTAH,3.68,0.59,4.27,2.28,23,22023,317.0
Kevin Durant,BKN,3.78,0.48,4.26,2.28,23,22023,7.0
Dejounte Murray,ATL,2.18,2.05,4.23,2.24,23,22023,80.0
LeBron James,LAL,3.83,0.2,4.03,1.86,23,22023,10.0
Pascal Siakam,TOR,3.7,0.32,4.02,1.6,23,22023,72.0
Paul George,LAC,3.26,0.72,3.98,1.92,23,22023,6.0
Kevin Love,CLE,3.93,-0.06,3.86,1.28,23,22023,13.0
Jimmy Butler,MIA,2.02,1.76,3.78,1.65,23,22023,11.0
Isaiah Stewart,DET,1.76,1.97,3.73,1.61,23,22023,337.0
Kelly Oubre Jr.,CHA,1.51,2.2,3.71,1.74,23,22023,359.0
Kristaps Porzingis,WSH,2.44,1.14,3.58,1.55,23,22023,104.0
Buddy Hield,IND,3.59,-0.02,3.57,1.7,23,22023,144.0
Desmond Bane,MEM,3.54,-0.04,3.51,1.7,23,22023,83.0
Fred VanVleet,TOR,1.67,1.73,3.4,1.53,23,22023,43.0
Domantas Sabonis,SAC,2.2,1.15,3.35,1.49,23,22023,77.0
Aaron Gordon,DEN,1.99,1.29,3.28,1.38,23,22023,212.0
Ja Morant,MEM,4.12,-0.88,3.24,1.59,23,22023,141.0
Jrue Holiday,MIL,2.82,0.39,3.21,1.61,23,22023,24.0
Brook Lopez,MIL,1.24,1.95,3.18,1.62,23,22023,99.0
Shai Gilgeous-Alexander,OKC,2.83,0.29,3.12,1.72,23,22023,202.0
Myles Turner,IND,1.72,1.39,3.11,0.75,23,22023,158.0
Devin Booker,PHX,3.15,-0.11,3.04,1.68,23,22023,49.0
Sam Hauser,BOS,3.96,-0.93,3.03,0.87,23,22023,681.0
Trae Young,ATL,4.9,-1.95,2.95,1.68,23,22023,38.0
Anthony Davis,LAL,0.66,2.02,2.68,1.5,23,22023,9.0
Anfernee Simons,POR,3.05,-0.41,2.63,1.39,23,22023,424.0
Chris Paul,PHX,0.94,1.61,2.55,1.16,23,22023,4.0
Spencer Dinwiddie,DAL,1.79,0.73,2.53,1.36,23,22023,121.0
Jonas Valanciunas,NO,0.92,1.61,2.52,1.13,23,22023,181.0
De'Aaron Fox,SAC,3.53,-1.01,2.52,1.22,23,22023,128.0
Andrew Wiggins,GS,1.04,1.4,2.44,1.33,23,22023,153.0
Michael Porter Jr.,DEN,1.29,1.12,2.41,1.13,23,22023,191.0
Mike Muscala,OKC,2.33,0.0,2.33,0.61,23,22023,376.0
Tobias Harris,PHI,-0.35,2.69,2.33,1.5,23,22023,127.0
Joel Embiid,PHI,2.54,-0.22,2.32,1.01,23,22023,17.0
Keldon Johnson,SA,2.73,-0.41,2.32,1.51,23,22023,224.0
Jalen Brunson,NY,2.22,0.09,2.32,1.36,23,22023,139.0
Cameron Johnson,PHX,1.24,1.01,2.26,0.78,23,22023,178.0
Jaylen Brown,BOS,2.1,0.11,2.21,1.31,23,22023,107.0
Zach LaVine,CHI,2.22,-0.01,2.2,1.18,23,22023,155.0
Karl-Anthony Towns,MIN,2.5,-0.42,2.09,1.67,23,22023,30.0
Alperen Sengun,HOU,2.18,-0.12,2.05,1.04,23,22023,738.0
Tyler Herro,MIA,1.34,0.69,2.02,1.09,23,22023,219.0
Jordan Goodwin,WSH,1.66,0.34,2.0,0.39,23,22023,1118.0
OG Anunoby,TOR,-1.22,3.18,1.96,1.54,23,22023,260.0
Marcus Morris Sr.,LAC,0.13,1.83,1.95,1.07,23,22023,334.0
Nic Claxton,BKN,-0.51,2.41,1.9,1.16,23,22023,586.0
Kyle Kuzma,WSH,1.03,0.86,1.89,1.34,23,22023,457.0
Jordan Clarkson,UTAH,2.61,-0.79,1.81,1.37,23,22023,152.0
Terence Davis,SAC,1.89,-0.08,1.81,0.48,23,22023,365.0
CJ McCollum,NO,0.92,0.88,1.8,1.53,23,22023,58.0
Devin Vassell,SA,2.32,-0.55,1.76,1.01,23,22023,438.0
Al Horford,BOS,0.62,1.12,1.74,0.73,23,22023,60.0
Kyle Lowry,MIA,0.16,1.58,1.73,1.34,23,22023,20.0
Rudy Gobert,MIN,-0.52,2.23,1.71,1.14,23,22023,16.0
Santi Aldama,MEM,-1.05,2.76,1.71,1.05,23,22023,1240.0
Jeremiah Robinson-Earl,OKC,0.29,1.39,1.68,0.66,23,22023,1203.0
Delon Wright,WSH,-0.22,1.88,1.66,0.3,23,22023,196.0
Max Strus,MIA,1.38,0.15,1.53,1.31,23,22023,299.0
John Wall,LAC,2.44,-0.95,1.49,0.87,23,22023,44.0
De'Anthony Melton,PHI,-0.38,1.85,1.48,0.9,23,22023,198.0
Mike Conley,UTAH,1.64,-0.22,1.41,1.21,23,22023,23.0
Julius Randle,NY,1.75,-0.35,1.4,1.17,23,22023,59.0
Clint Capela,ATL,-2.3,3.57,1.27,0.95,23,22023,56.0
Saddiq Bey,DET,1.06,0.2,1.26,1.24,23,22023,635.0
Marcus Smart,BOS,1.06,0.18,1.24,0.98,23,22023,76.0
Naz Reid,MIN,1.58,-0.39,1.19,0.51,23,22023,487.0
Luguentz Dort,OKC,-0.18,1.35,1.17,1.09,23,22023,268.0
Jock Landale,PHX,1.46,-0.34,1.12,0.69,23,22023,789.0
Jakob Poeltl,SA,-0.03,1.13,1.1,1.08,23,22023,88.0
DeMar DeRozan,CHI,0.96,0.13,1.1,1.38,23,22023,78.0
Gary Trent Jr.,TOR,0.95,0.14,1.09,1.24,23,22023,246.0
Malik Monk,SAC,2.83,-1.77,1.06,0.85,23,22023,284.0
Kevin Huerter,SAC,0.96,0.08,1.04,0.95,23,22023,370.0
Mikal Bridges,PHX,-0.34,1.38,1.04,1.14,23,22023,63.0
Obi Toppin,NY,1.42,-0.38,1.04,0.74,23,22023,529.0
Tyrese Maxey,PHI,1.03,-0.05,0.98,1.29,23,22023,320.0
Mitchell Robinson,NY,-0.98,1.94,0.96,0.44,23,22023,159.0
Wendell Carter Jr.,ORL,-0.07,1.01,0.94,1.12,23,22023,301.0
Bradley Beal,WSH,1.98,-1.06,0.92,0.91,23,22023,27.0
Nikola Vucevic,CHI,0.24,0.67,0.91,1.23,23,22023,32.0
Bobby Portis,MIL,0.39,0.49,0.88,1.0,23,22023,197.0
Zion Williamson,NO,0.92,-0.04,0.88,0.92,23,22023,125.0
Anthony Edwards,MIN,1.12,-0.24,0.87,1.34,23,22023,140.0
Bojan Bogdanovic,DET,1.37,-0.5,0.87,1.02,23,22023,257.0
Grant Williams,BOS,0.74,0.11,0.84,0.82,23,22023,463.0
Chris Boucher,TOR,0.66,0.15,0.81,0.61,23,22023,296.0
Dennis Smith Jr.,CHA,-1.46,2.27,0.81,1.06,23,22023,512.0
Gorgui Dieng,SA,1.8,-1.04,0.76,0.19,23,22023,200.0
Talen Horton-Tucker,UTAH,0.48,0.25,0.74,0.73,23,22023,462.0
Trey Murphy III,NO,0.59,0.14,0.73,1.1,23,22023,573.0
Bol Bol,ORL,-0.22,0.89,0.67,0.8,23,22023,1112.0
Cade Cunningham,DET,0.75,-0.11,0.64,1.06,23,22023,539.0
Lonnie Walker IV,LAL,0.27,0.35,0.62,0.78,23,22023,1172.0
Klay Thompson,GS,1.41,-0.79,0.62,0.67,23,22023,31.0
Jerami Grant,POR,-0.06,0.68,0.62,0.97,23,22023,213.0
Kevon Looney,GS,-1.08,1.68,0.6,0.65,23,22023,229.0
Otto Porter Jr.,TOR,0.25,0.26,0.51,0.28,23,22023,52.0
Kenyon Martin Jr.,HOU,0.79,-0.28,0.5,0.87,23,22023,1182.0
Jalen Suggs,ORL,0.62,-0.14,0.48,0.49,23,22023,575.0
Mason Plumlee,CHA,-0.28,0.75,0.47,0.85,23,22023,338.0
Terry Rozier,CHA,2.12,-1.66,0.46,0.55,23,22023,74.0
Josh Green,DAL,0.43,-0.03,0.39,0.61,23,22023,491.0
Joe Harris,BKN,-0.2,0.46,0.26,0.59,23,22023,148.0
D'Angelo Russell,MIN,0.54,-0.29,0.25,0.92,23,22023,113.0
Charles Bassey,SA,-0.27,0.5,0.23,0.16,23,22023,768.0
Mo Bamba,ORL,0.72,-0.49,0.23,0.46,23,22023,458.0
Scottie Barnes,TOR,0.12,0.1,0.21,0.84,23,22023,206.0
John Collins,ATL,-1.41,1.61,0.2,0.91,23,22023,170.0
Isaiah Joe,OKC,0.58,-0.39,0.19,0.11,23,22023,600.0
Jalen Green,HOU,0.77,-0.58,0.19,0.97,23,22023,1315.0
Jusuf Nurkic,POR,-2.79,2.94,0.15,0.6,23,22023,33.0
Jalen Smith,IND,-0.7,0.85,0.14,0.6,23,22023,605.0
Jaylen Nowell,MIN,1.56,-1.44,0.12,0.76,23,22023,532.0
Javonte Green,CHI,-0.31,0.41,0.1,0.75,23,22023,306.0
Franz Wagner,ORL,0.57,-0.49,0.08,0.94,23,22023,180.0
Cameron Payne,PHX,1.09,-1.04,0.05,0.47,23,22023,267.0
Terance Mann,LAC,0.26,-0.22,0.03,0.54,23,22023,265.0
Jordan McLaughlin,MIN,1.03,-1.01,0.02,0.53,23,22023,477.0
Darius Bazley,OKC,-1.16,1.15,-0.01,0.56,23,22023,668.0
Andre Drummond,CHI,-1.05,1.01,-0.05,0.3,23,22023,48.0
Torrey Craig,PHX,-0.25,0.18,-0.07,0.42,23,22023,468.0
Kawhi Leonard,LAC,0.39,-0.47,-0.07,0.09,23,22023,8.0
Jarred Vanderbilt,UTAH,-1.78,1.69,-0.09,0.61,23,22023,214.0
Zach Collins,SA,0.27,-0.41,-0.14,0.42,23,22023,703.0
Russell Westbrook,LAL,1.04,-1.19,-0.15,0.74,23,22023,12.0
Kevin Porter Jr.,HOU,0.28,-0.48,-0.2,0.89,23,22023,360.0
Tre Mann,OKC,0.35,-0.55,-0.2,0.67,23,22023,1281.0
Bruno Fernando,HOU,-0.02,-0.19,-0.21,0.07,23,22023,838.0
Jamal Murray,DEN,0.11,-0.33,-0.22,0.55,23,22023,146.0
Goga Bitadze,IND,0.31,-0.6,-0.29,0.28,23,22023,656.0
Kelly Olynyk,UTAH,-0.44,0.13,-0.3,0.69,23,22023,247.0
Isaiah Hartenstein,NY,-1.05,0.73,-0.33,0.65,23,22023,310.0
Nick Richards,CHA,0.33,-0.65,-0.33,0.59,23,22023,1190.0
Cole Anthony,ORL,0.54,-0.87,-0.34,0.22,23,22023,620.0
Malcolm Brogdon,BOS,1.74,-2.09,-0.36,0.56,23,22023,134.0
Isaiah Jackson,IND,-0.89,0.53,-0.36,0.45,23,22023,649.0
Jarrett Allen,CLE,-2.36,1.99,-0.38,0.62,23,22023,97.0
Derrick Jones Jr.,CHI,-0.62,0.24,-0.38,0.41,23,22023,307.0
Ty Jerome,GS,1.12,-1.51,-0.39,0.3,23,22023,581.0
Christian Wood,DAL,0.63,-1.02,-0.39,0.48,23,22023,186.0
Jaden McDaniels,MIN,-0.83,0.41,-0.42,0.71,23,22023,447.0
Trey Lyles,SAC,0.43,-0.86,-0.43,0.31,23,22023,380.0
John Konchar,MEM,-0.97,0.53,-0.44,0.62,23,22023,378.0
Ivica Zubac,LAC,-2.98,2.54,-0.45,0.72,23,22023,182.0
Kentavious Caldwell-Pope,DEN,-1.79,1.32,-0.47,0.61,23,22023,69.0
Wenyen Gabriel,LAL,-1.29,0.82,-0.48,0.28,23,22023,675.0
Kyle Anderson,MIN,0.0,-0.49,-0.48,0.37,23,22023,142.0
Larry Nance Jr.,NO,-0.8,0.25,-0.55,0.58,23,22023,220.0
Onyeka Okongwu,ATL,-0.69,0.13,-0.56,0.56,23,22023,393.0
RJ Barrett,NY,0.05,-0.62,-0.57,0.72,23,22023,323.0
Collin Sexton,UTAH,1.05,-1.62,-0.58,0.63,23,22023,756.0
Georges Niang,PHI,0.73,-1.31,-0.58,0.46,23,22023,385.0
Steven Adams,MEM,-1.86,1.21,-0.65,0.5,23,22023,54.0
Jalen Johnson,ATL,-1.47,0.82,-0.66,0.37,23,22023,1236.0
Dalano Banton,TOR,-0.16,-0.51,-0.67,0.22,23,22023,898.0
Malik Beasley,UTAH,-0.56,-0.11,-0.67,0.64,23,22023,420.0
Isaiah Roby,SA,-1.07,0.37,-0.7,0.17,23,22023,759.0
Bam Adebayo,MIA,-2.53,1.82,-0.71,0.69,23,22023,119.0
Dean Wade,CLE,-0.89,0.15,-0.73,0.43,23,22023,461.0
Brandon Ingram,NO,0.2,-0.95,-0.75,0.44,23,22023,236.0
Eric Gordon,HOU,-0.25,-0.51,-0.76,0.52,23,22023,149.0
Anthony Lamb,GS,-0.31,-0.46,-0.77,0.12,23,22023,980.0
DeAndre Jordan,DEN,-0.21,-0.57,-0.78,0.24,23,22023,29.0
Tre Jones,SA,-1.46,0.67,-0.79,0.61,23,22023,353.0
Nassir Little,POR,0.06,-0.85,-0.79,0.36,23,22023,403.0
Draymond Green,GS,-1.1,0.29,-0.81,0.5,23,22023,5.0
Chuma Okeke,ORL,-0.27,-0.54,-0.81,0.46,23,22023,460.0
Immanuel Quickley,NY,-0.52,-0.31,-0.84,0.49,23,22023,123.0
Robert Covington,LAC,-0.94,0.1,-0.84,0.24,23,22023,37.0
Darius Garland,CLE,1.53,-2.38,-0.84,0.28,23,22023,51.0
P.J. Washington,CHA,-1.15,0.29,-0.86,0.66,23,22023,514.0
Jevon Carter,MIL,-2.12,1.26,-0.86,0.49,23,22023,481.0
Yuta Watanabe,BKN,-0.56,-0.34,-0.9,0.29,23,22023,648.0
Jordan Poole,GS,1.69,-2.6,-0.9,0.6,23,22023,238.0
Tyus Jones,MEM,1.18,-2.11,-0.93,0.54,23,22023,273.0
Patty Mills,BKN,0.54,-1.5,-0.96,0.33,23,22023,131.0
Kenrich Williams,OKC,-0.3,-0.68,-0.98,0.38,23,22023,352.0
Aleksej Pokusevski,OKC,-1.25,0.25,-1.0,0.4,23,22023,1105.0
Dewayne Dedmon,MIA,0.02,-1.02,-1.0,0.23,23,22023,298.0
Corey Kispert,WSH,-0.05,-0.96,-1.01,0.11,23,22023,631.0
Derrick White,BOS,-2.02,1.0,-1.02,0.37,23,22023,66.0
Monte Morris,WSH,-1.31,0.28,-1.03,0.49,23,22023,150.0
Herbert Jones,NO,-1.34,0.31,-1.03,0.38,23,22023,192.0
Ayo Dosunmu,CHI,-0.94,-0.09,-1.03,0.57,23,22023,1294.0
Dwight Powell,DAL,-1.93,0.9,-1.03,0.22,23,22023,163.0
Duncan Robinson,MIA,0.11,-1.15,-1.04,0.36,23,22023,124.0
Harrison Barnes,SAC,-1.3,0.26,-1.05,0.5,23,22023,243.0
Dillon Brooks,MEM,-1.47,0.39,-1.08,0.36,23,22023,335.0
Josh Hart,POR,-3.29,2.18,-1.11,0.62,23,22023,327.0
Brandon Clarke,MEM,-0.02,-1.13,-1.15,0.38,23,22023,290.0
Coby White,CHI,0.13,-1.3,-1.17,0.27,23,22023,623.0
Goran Dragic,CHI,0.87,-2.06,-1.18,0.45,23,22023,26.0
Evan Mobley,CLE,-2.32,1.1,-1.22,0.44,23,22023,442.0
Daniel Gafford,WSH,-1.14,-0.13,-1.27,0.27,23,22023,416.0
Cedi Osman,CLE,0.7,-1.98,-1.28,0.33,23,22023,544.0
Derrick Rose,NY,-0.2,-1.08,-1.28,0.24,23,22023,228.0
Gordon Hayward,CHA,0.1,-1.42,-1.31,0.34,23,22023,57.0
Royce O'Neale,BKN,-3.35,2.02,-1.33,0.55,23,22023,165.0
Precious Achiuwa,TOR,-0.52,-0.86,-1.37,0.38,23,22023,399.0
Tim Hardaway Jr.,DAL,-0.17,-1.21,-1.38,0.36,23,22023,157.0
Grayson Allen,MIL,-1.17,-0.21,-1.38,0.41,23,22023,355.0
Caleb Martin,MIA,-3.54,2.12,-1.42,0.36,23,22023,275.0
Chimezie Metu,SAC,-0.96,-0.47,-1.43,0.12,23,22023,1122.0
Seth Curry,BKN,-0.95,-0.5,-1.45,0.08,23,22023,208.0
Dorian Finney-Smith,DAL,-1.61,0.16,-1.45,0.43,23,22023,201.0
Nicolas Batum,LAC,-1.18,-0.28,-1.45,0.31,23,22023,75.0
Troy Brown Jr.,LAL,-0.91,-0.55,-1.46,0.33,23,22023,526.0
Cam Thomas,BKN,-0.81,-0.65,-1.46,0.17,23,22023,1295.0
Jalen McDaniels,CHA,-1.6,0.13,-1.46,0.5,23,22023,556.0
Edmond Sumner,BKN,-1.31,-0.17,-1.47,0.21,23,22023,964.0
Gabe Vincent,MIA,-0.98,-0.51,-1.49,0.4,23,22023,391.0
Nickeil Alexander-Walker,UTAH,-1.4,-0.13,-1.54,0.09,23,22023,551.0
Usman Garuba,HOU,-1.85,0.3,-1.55,0.21,23,22023,886.0
Josh Richardson,SA,0.61,-2.18,-1.57,0.39,23,22023,91.0
Juancho Hernangomez,TOR,-1.03,-0.54,-1.57,0.06,23,22023,473.0
Landry Shamet,PHX,-0.04,-1.56,-1.6,0.22,23,22023,382.0
Doug McDermott,SA,0.46,-2.06,-1.6,0.37,23,22023,518.0
Jericho Sims,NY,-1.61,0.01,-1.6,0.06,23,22023,678.0
Justise Winslow,POR,-2.47,0.85,-1.61,0.35,23,22023,368.0
Jose Alvarado,NO,-0.45,-1.2,-1.65,0.29,23,22023,285.0
Jae'Sean Tate,HOU,-0.37,-1.29,-1.66,0.08,23,22023,277.0
Malachi Flynn,TOR,-0.74,-0.92,-1.66,0.06,23,22023,587.0
Rudy Gay,UTAH,-1.55,-0.15,-1.69,0.21,23,22023,100.0
Bruce Brown,DEN,-0.98,-0.74,-1.72,0.34,23,22023,326.0
James Johnson,IND,-1.45,-0.3,-1.75,0.06,23,22023,129.0
Anthony Gill,WSH,-1.55,-0.23,-1.78,0.16,23,22023,633.0
Dario Saric,PHX,-1.32,-0.47,-1.78,0.07,23,22023,271.0
JaMychal Green,GS,-1.75,-0.05,-1.79,0.21,23,22023,342.0
Trendon Watford,POR,-1.59,-0.27,-1.86,0.08,23,22023,1318.0
De'Andre Hunter,ATL,-1.2,-0.7,-1.9,0.34,23,22023,406.0
Evan Fournier,NY,-1.63,-0.29,-1.92,0.22,23,22023,258.0
Aaron Nesmith,IND,-1.22,-0.71,-1.93,0.14,23,22023,792.0
James Wiseman,GS,-0.63,-1.31,-1.94,0.17,23,22023,1321.0
Eugene Omoruyi,OKC,-0.82,-1.16,-1.98,0.05,23,22023,1020.0
Kai Jones,CHA,-2.03,0.03,-2.0,0.02,23,22023,1211.0
Josh Christopher,HOU,-0.89,-1.11,-2.0,0.09,23,22023,1299.0
Montrezl Harrell,PHI,-1.95,-0.06,-2.01,0.12,23,22023,106.0
Raul Neto,CLE,-1.37,-0.64,-2.01,0.08,23,22023,282.0
Jeff Green,DEN,-0.95,-1.09,-2.04,0.21,23,22023,413.0
Terrence Ross,ORL,-1.97,-0.08,-2.05,0.26,23,22023,237.0
Deandre Ayton,PHX,-2.18,0.12,-2.06,0.18,23,22023,254.0
Drew Eubanks,POR,-1.12,-0.94,-2.06,0.18,23,22023,583.0
Sandro Mamukelashvili,MIL,-1.54,-0.52,-2.06,0.02,23,22023,1309.0
Luke Kennard,LAC,-1.7,-0.36,-2.06,0.22,23,22023,297.0
Caris LeVert,CLE,-2.05,-0.03,-2.08,0.28,23,22023,339.0
Moses Brown,LAC,-2.09,-0.04,-2.13,0.02,23,22023,767.0
Frank Kaminsky,ATL,-1.57,-0.6,-2.17,0.02,23,22023,536.0
Thaddeus Young,TOR,-2.32,0.14,-2.18,0.09,23,22023,103.0
Khem Birch,TOR,-1.81,-0.38,-2.18,0.04,23,22023,397.0
Bismack Biyombo,PHX,-3.72,1.52,-2.2,0.08,23,22023,414.0
Chris Duarte,IND,-0.57,-1.64,-2.21,0.14,23,22023,398.0
Paul Reed,PHI,-3.97,1.74,-2.23,0.07,23,22023,680.0
Josh Okogie,PHX,-1.78,-0.45,-2.23,0.05,23,22023,363.0
Taurean Prince,MIN,-0.34,-1.89,-2.23,0.24,23,22023,538.0
Justin Holiday,ATL,-0.51,-1.76,-2.27,0.2,23,22023,205.0
Robin Lopez,CLE,-1.07,-1.24,-2.31,0.06,23,22023,68.0
Theo Maledon,CHA,-0.97,-1.35,-2.32,0.13,23,22023,1285.0
R.J. Hampton,ORL,-1.41,-0.95,-2.36,0.12,23,22023,1316.0
Taj Gibson,WSH,-1.77,-0.63,-2.39,0.02,23,22023,195.0
Naji Marshall,NO,-1.69,-0.71,-2.4,0.16,23,22023,615.0
Josh Giddey,OKC,-1.15,-1.25,-2.4,0.15,23,22023,540.0
Patrick Williams,CHI,-3.11,0.66,-2.44,0.19,23,22023,877.0
Austin Reaves,LAL,-1.49,-0.99,-2.48,0.19,23,22023,329.0
George Hill,MIL,-1.11,-1.39,-2.49,0.15,23,22023,102.0
Keita Bates-Diop,SA,-0.7,-1.8,-2.5,0.09,23,22023,644.0
Payton Pritchard,BOS,-1.43,-1.11,-2.54,0.02,23,22023,436.0
Lamar Stevens,CLE,-1.85,-0.72,-2.57,0.02,23,22023,887.0
Reggie Jackson,LAC,-2.18,-0.42,-2.6,0.15,23,22023,160.0
Maxi Kleber,DAL,-2.22,-0.38,-2.6,0.14,23,22023,304.0
Kevin Knox II,DET,-1.45,-1.18,-2.63,0.04,23,22023,1322.0
Brandon Boston Jr.,LAC,-1.96,-0.68,-2.64,0.01,23,22023,1187.0
Nathan Knight,MIN,-2.22,-0.47,-2.69,0.01,23,22023,670.0
Justin Jackson,BOS,-1.98,-0.75,-2.73,0.01,23,22023,594.0
Serge Ibaka,MIL,-1.88,-0.86,-2.74,0.05,23,22023,105.0
Furkan Korkmaz,PHI,-1.96,-0.78,-2.74,0.01,23,22023,361.0
Willy Hernangomez,NO,-1.82,-0.93,-2.75,0.01,23,22023,524.0
Boban Marjanovic,HOU,-2.21,-0.54,-2.75,0.01,23,22023,429.0
P.J. Tucker,PHI,-3.1,0.34,-2.75,0.11,23,22023,240.0
Norman Powell,LAC,-1.06,-1.71,-2.77,0.12,23,22023,286.0
Udonis Haslem,MIA,-2.08,-0.69,-2.77,0.01,23,22023,891.0
Donte DiVincenzo,GS,-1.18,-1.62,-2.79,0.02,23,22023,184.0
James Bouknight,CHA,-1.42,-1.39,-2.81,0.1,23,22023,1289.0
Will Barton,WSH,-1.73,-1.1,-2.83,0.11,23,22023,169.0
Cory Joseph,DET,-1.69,-1.16,-2.85,0.04,23,22023,207.0
Alex Caruso,CHI,-3.91,1.01,-2.89,0.09,23,22023,210.0
Admiral Schofield,ORL,-2.07,-0.83,-2.9,0.01,23,22023,1231.0
Davion Mitchell,SAC,-0.83,-2.12,-2.95,0.05,23,22023,474.0
Blake Griffin,BOS,-1.79,-1.18,-2.97,0.01,23,22023,42.0
Matthew Dellavedova,SAC,-2.05,-0.94,-2.99,0.01,23,22023,253.0
Haywood Highsmith,MIA,-2.49,-0.51,-3.0,0.01,23,22023,1184.0
Greg Brown III,POR,-2.66,-0.34,-3.0,0.0,23,22023,1317.0
Rui Hachimura,WSH,-1.5,-1.51,-3.01,0.06,23,22023,1269.0
Joshua Primo,SA,-0.95,-2.07,-3.02,0.02,23,22023,1297.0
JT Thor,CHA,-2.1,-0.93,-3.03,0.03,23,22023,1186.0
Moses Moody,GS,-1.54,-1.49,-3.03,0.04,23,22023,1229.0
Matisse Thybulle,PHI,-3.74,0.69,-3.05,0.02,23,22023,251.0
Deni Avdija,WSH,-3.58,0.51,-3.07,0.03,23,22023,259.0
Facundo Campazzo,DAL,-2.53,-0.55,-3.08,0.0,23,22023,266.0
Rodney McGruder,DET,-2.42,-0.71,-3.12,0.0,23,22023,543.0
Austin Rivers,MIN,-2.34,-0.8,-3.14,0.01,23,22023,452.0
Aaron Wiggins,OKC,-3.11,-0.1,-3.21,0.01,23,22023,1263.0
Hamidou Diallo,DET,-2.62,-0.6,-3.22,0.01,23,22023,428.0
Udoka Azubuike,UTAH,-3.15,-0.1,-3.25,0.0,23,22023,827.0
Bryn Forbes,MIN,-2.42,-0.87,-3.3,0.0,23,22023,610.0
Amir Coffey,LAC,-2.6,-0.72,-3.32,-0.01,23,22023,464.0
Danuel House Jr.,PHI,-2.05,-1.28,-3.33,-0.01,23,22023,379.0
Richaun Holmes,SAC,-2.22,-1.14,-3.36,-0.01,23,22023,230.0
Keon Johnson,POR,-1.9,-1.49,-3.39,-0.01,23,22023,1320.0
Devonte' Graham,NO,-2.24,-1.17,-3.41,-0.03,23,22023,204.0
Patrick Beverley,LAL,-4.37,0.92,-3.46,-0.04,23,22023,84.0
Cam Reddish,NY,-2.65,-0.82,-3.47,-0.04,23,22023,1021.0
Xavier Tillman,MEM,-1.74,-1.74,-3.48,-0.02,23,22023,520.0
Ben Simmons,BKN,-3.63,0.14,-3.49,-0.04,23,22023,50.0
Damion Lee,PHX,-2.69,-0.81,-3.49,-0.04,23,22023,409.0
David Duke Jr.,BKN,-2.25,-1.29,-3.55,-0.02,23,22023,1095.0
Terry Taylor,IND,-3.06,-0.52,-3.58,-0.02,23,22023,748.0
Leandro Bolmaro,UTAH,-2.83,-0.8,-3.64,-0.01,23,22023,1117.0
JaVale McGee,DAL,-3.41,-0.26,-3.67,-0.03,23,22023,336.0
Damian Jones,LAL,-3.03,-0.66,-3.69,-0.02,23,22023,785.0
Luke Kornet,BOS,-2.86,-0.87,-3.73,-0.03,23,22023,444.0
Jordan Nwora,MIL,-2.6,-1.18,-3.78,-0.09,23,22023,721.0
T.J. McConnell,IND,-3.54,-0.27,-3.8,-0.07,23,22023,203.0
Nerlens Noel,DET,-3.78,-0.04,-3.82,-0.02,23,22023,401.0
Juan Toscano-Anderson,LAL,-3.08,-0.76,-3.84,-0.05,23,22023,440.0
Day'Ron Sharpe,BKN,-3.67,-0.18,-3.84,-0.04,23,22023,579.0
Thanasis Antetokounmpo,MIL,-3.4,-0.46,-3.85,-0.01,23,22023,671.0
Romeo Langford,SA,-2.42,-1.44,-3.86,-0.05,23,22023,698.0
Jaxson Hayes,NO,-3.1,-0.77,-3.87,-0.02,23,22023,542.0
Markieff Morris,BKN,-3.23,-0.69,-3.92,-0.04,23,22023,316.0
Isaiah Livers,DET,-2.92,-1.02,-3.95,-0.11,23,22023,803.0
Jonathan Kuminga,GS,-2.16,-1.82,-3.98,-0.07,23,22023,1301.0
Matt Ryan,LAL,-2.96,-1.09,-4.05,-0.07,23,22023,1001.0
Wesley Matthews,MIL,-3.47,-0.68,-4.15,-0.12,23,22023,64.0
Kessler Edwards,BKN,-3.43,-0.77,-4.2,-0.01,23,22023,1272.0
Lindy Waters III,OKC,-3.42,-0.8,-4.21,-0.01,23,22023,570.0
Oshae Brissett,IND,-3.24,-0.98,-4.22,-0.04,23,22023,553.0
Micah Potter,UTAH,-3.35,-1.01,-4.36,-0.01,23,22023,1147.0
Zeke Nnaji,DEN,-3.13,-1.24,-4.37,-0.02,23,22023,869.0
Kendrick Nunn,LAL,-1.86,-2.51,-4.37,-0.12,23,22023,451.0
Aaron Holiday,ATL,-3.44,-1.02,-4.46,-0.22,23,22023,289.0
