NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Otto Porter Jr.,WSH,-2.23,0.47,-1.77,0.89,15,22015,52.0
Chase Budinger,MIN,-0.26,-1.52,-1.77,0.83,15,22015,596.0
Bojan Bogdanovic,BKN,0.69,-2.49,-1.8,1.13,15,22015,257.0
Henry Sims,PHI,-1.94,0.14,-1.8,0.89,15,22015,613.0
Arinze Onuaku,MIN,-0.6,-1.21,-1.81,0.04,15,22015,865.0
P.J. Tucker,PHX,-2.51,0.66,-1.84,1.44,15,22015,240.0
Kyle Singler,DET/OKC,-1.53,-0.32,-1.85,1.02,15,22015,356.0
Donald Sloan,IND,-1.66,-0.21,-1.87,0.62,15,22015,647.0
Jordan Clarkson,LAL,-0.88,-1.0,-1.89,0.8,15,22015,152.0
Beno Udrih,MEM,-1.15,-0.75,-1.9,0.79,15,22015,496.0
Kendrick Perkins,OKC/CLE,-4.09,2.18,-1.91,0.62,15,22015,1018.0
Shawne Williams,MIA/DET,-0.7,-1.22,-1.92,0.56,15,22015,552.0
Grant Jerrett,OKC/UTAH,-0.68,-1.24,-1.92,0.03,15,22015,1249.0
John Henson,MIL,-2.5,0.57,-1.93,0.63,15,22015,466.0
Erick Green,DEN,-1.49,-0.44,-1.94,0.22,15,22015,943.0
Reggie Williams,SA,-0.61,-1.33,-1.94,0.06,15,22015,888.0
Ian Mahinmi,IND,-2.74,0.8,-1.94,0.58,15,22015,328.0
Tristan Thompson,CLE,-1.43,-0.53,-1.96,1.09,15,22015,92.0
D.J. Augustin,DET/OKC,-0.25,-1.72,-1.97,0.98,15,22015,344.0
Cartier Martin,DET,-2.58,0.61,-1.97,0.1,15,22015,639.0
Robert Sacre,LAL,-2.57,0.59,-1.97,0.56,15,22015,1163.0
Terrence Ross,TOR,0.66,-2.64,-1.98,1.01,15,22015,237.0
Ryan Hollins,SAC,-1.76,-0.25,-2.01,0.21,15,22015,708.0
Shaun Livingston,GS,-2.11,0.08,-2.03,0.68,15,22015,263.0
Andre Miller,WSH/SAC,-0.19,-1.92,-2.11,0.49,15,22015,470.0
Cole Aldrich,NY,-2.87,0.76,-2.11,0.38,15,22015,486.0
Ian Clark,UTAH/DEN,-0.54,-1.59,-2.12,0.08,15,22015,781.0
Ryan Kelly,LAL,-2.4,0.27,-2.13,0.47,15,22015,577.0
Al Jefferson,CHA,-1.76,-0.45,-2.21,0.67,15,22015,166.0
Reggie Evans,SAC,-2.24,0.01,-2.24,0.24,15,22015,899.0
Chris Copeland,IND,-1.19,-1.05,-2.24,0.26,15,22015,876.0
Earl Clark,BKN,-1.69,-0.58,-2.28,0.03,15,22015,1107.0
