TEAMSEASID,SEASON,TEAM_ID,SEASON_ID,NAME,GP,W,L,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
magic-17,17,21,22017,magic,82,35,47,104.4,106,-1.6,59.6,1.67,17.6,27.1,72.6,49.5,14.4,50,53.3,96.68,48.8,"8,018"
76ers-17,17,22,22017,76ers,82,10,72,98.4,108.6,-10.2,59.4,1.31,16.3,25,69.3,46.6,16.5,48.7,51.9,98.44,42.8,"8,119"
suns-17,17,23,22017,suns,82,23,59,101.5,107.9,-6.5,55.8,1.21,15.4,29.7,73.3,50.8,17.3,48.7,52.6,99.39,45,"8,152"
blazers-17,17,24,22017,blazers,82,44,38,107.6,106.8,0.8,55.2,1.46,16,29.4,72.8,51,15,51.1,54.8,97.06,49.3,"8,012"
kings-17,17,25,22017,kings,82,33,49,105.3,107.6,-2.3,61.2,1.52,17.6,28.1,71.7,50,16,51,54.6,100.66,49.4,"8,302"
spurs-17,17,26,22017,spurs,82,67,15,109.3,98.2,11.1,61.1,1.88,18.8,26.6,74.6,51.6,13.8,52.6,56.4,94.54,57.8,"7,767"
raptors-17,17,27,22017,raptors,82,56,26,109.3,104.8,4.4,51.1,1.43,14.9,30,73.6,52,13.9,50.4,55.2,93.35,52.5,"7,707"
jazz-17,17,28,22017,jazz,82,40,42,105,103.2,1.8,52.6,1.27,15.1,30.3,73.1,51.7,16.1,50.1,54,91.66,50.8,"7,625"
wizards-17,17,29,22017,wizards,82,41,41,104.5,105.1,-0.5,61.9,1.69,18.1,25,73.7,49,14.5,51.1,54.4,99.16,49.7,"8,163"
hawks-18,18,0,22018,hawks,82,24,58,104.4,110.1,-5.7,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.76,46.8,"8,114"
celtics-18,18,1,22018,celtics,82,55,27,106.8,103.2,3.6,58.6,1.6,17,26.3,73.9,50.4,14.4,51.8,55.2,96.75,51.9,"7,987"
nets-18,18,2,22018,nets,82,28,54,106.1,109.7,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.66,47.4,"8,238"
hornets-18,18,3,22018,hornets,82,36,46,109,109,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50,"8,143"
bulls-18,18,4,22018,bulls,82,27,55,103.4,110.5,-7,60.7,1.68,17.3,25.6,76.7,50,14.1,49.7,52.9,98.65,45.3,"8,160"
cavs-18,18,5,22018,cavs,82,50,32,112,111.1,1,57.9,1.7,17.5,24.3,73,49.2,13.9,54.7,58.4,98.72,50.2,"8,114"
mavericks-18,18,6,22018,mavericks,82,24,58,105.4,108.4,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.7,51.3,54.4,96.53,47.5,"7,959"
nuggets-18,18,7,22018,nuggets,82,46,36,111.4,110,1.4,61.7,1.68,18.2,30,73.6,51.7,15.1,53.6,57,97.69,51.1,"8,095"
pistons-18,18,8,22018,pistons,82,39,43,106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74,49.9,13.8,51.2,54.3,96.75,48.9,"7,981"
warriors-18,18,9,22018,warriors,82,58,24,112.8,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.35,55.4,"8,251"
rockets-18,18,10,22018,rockets,82,65,17,114.1,105.7,8.4,55.7,1.56,16.4,25.4,75,50.3,14.1,55.1,59,98.02,53.1,"8,078"
pacers-18,18,11,22018,pacers,82,48,34,108.5,107.3,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.84,50.9,"7,977"
clippers-18,18,12,22018,clippers,82,42,40,109.4,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.54,49.7,"8,167"
lakers-18,18,13,22018,lakers,82,35,47,106,107.3,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1,"8,361"
grizzlies-18,18,14,22018,grizzlies,82,22,60,103.6,110.4,-6.8,58.6,1.44,16.6,27.6,72.1,49.3,15.6,50,53.9,95.65,46,"7,865"
heat-18,18,15,22018,heat,82,44,38,106.2,105.8,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.8,52,55.1,96.1,50.5,"7,985"
bucks-18,18,16,22018,bucks,82,44,38,109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2,"8,013"
timberwolves-18,18,17,22018,timberwolves,82,47,35,112.5,110.2,2.3,55.3,1.82,17,28.9,72,50.3,12.8,52.3,56.6,96.75,51.8,"7,985"
pelicans-18,18,18,22018,pelicans,82,48,34,108.5,107.4,1.1,62.7,1.79,19,24,72.6,49.4,14.5,54.1,57.3,101.48,52.5,"8,443"
knicks-18,18,19,22018,knicks,82,29,53,106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1,"8,059"
thunder-18,18,20,22018,thunder,82,48,34,110.1,106.4,3.7,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.34,50.8,"8,036"
magic-18,18,21,22018,magic,82,25,57,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2,"8,096"
76ers-18,18,22,22018,76ers,82,52,30,108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.75,54.2,"8,299"
suns-18,18,23,22018,suns,82,21,61,102.8,111.7,-9,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.14,44.2,"8,293"
blazers-18,18,24,22018,blazers,82,49,33,108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51,"7,992"
kings-18,18,25,22018,kings,82,27,55,103.1,110.4,-7.3,55.6,1.57,16.6,26.4,73.1,48.9,14.3,50.2,52.9,95.5,45.1,"7,860"
spurs-18,18,26,22018,spurs,82,47,35,107.1,104.1,3,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.7,52.5,"7,867"
raptors-18,18,27,22018,raptors,82,59,23,113,105.3,7.7,59,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.02,53.8,"8,104"
jazz-18,18,28,22018,jazz,82,48,34,107.4,103,4.4,58.6,1.53,17.1,25.6,75.6,50.9,15.2,52.7,56.4,96.58,53.2,"7,951"
wizards-18,18,29,22018,wizards,82,43,39,108.1,107.7,0.4,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56,97.67,50.9,"8,087"
hawks-19,19,0,22019,hawks,82,29,53,107.5,113.1,-5.5,62.4,1.52,17.7,28.4,71.8,49.6,16.2,52.2,55.5,104.56,46.4,"8,642"
celtics-19,19,1,22019,celtics,82,49,33,111.3,107,4.3,62.4,2.05,18.8,25.7,72.8,49.5,12.7,53.4,56.7,100.43,53,"8,282"
nets-19,19,2,22019,nets,82,42,40,108.9,109,-0.1,59.2,1.58,16.9,28.2,72,50.1,14.6,52,55.6,101.52,49.2,"8,452"
hornets-19,19,3,22019,hornets,82,39,43,110.7,112,-1.3,57.8,1.9,17,26.8,73.1,49.5,12.2,51.4,55.4,99.18,48.6,"8,202"
bulls-19,19,4,22019,bulls,82,22,60,104.5,112.8,-8.3,55,1.55,16.3,24.2,72.7,48.3,14.1,50.5,54.1,99.3,45.3,"8,232"
cavs-19,19,5,22019,cavs,82,19,63,106.8,116.8,-10,53.2,1.54,15.6,28.2,73.2,49.6,13.8,50.3,54,97.37,43.6,"8,021"
mavericks-19,19,6,22019,mavericks,82,33,49,108.7,110.1,-1.5,60.3,1.64,17,27.3,73.4,50.3,14.2,51.9,55.5,99.6,49.2,"8,216"
nuggets-19,19,7,22019,nuggets,82,54,28,112.1,108.1,4,65.3,2.04,19.3,30.8,74.4,52.4,13.6,52.7,55.8,98.49,52.4,"8,096"
pistons-19,19,8,22019,pistons,82,41,41,108.4,108.7,-0.3,57.9,1.63,16.5,29.1,74.5,50.9,14,50.9,54.4,97.88,48.2,"8,101"
warriors-19,19,9,22019,warriors,82,57,25,115,108.6,6.5,66.8,2.06,20.4,25.7,72.7,50.5,13.9,56.5,59.6,101.74,54.6,"8,390"
rockets-19,19,10,22019,rockets,82,53,29,114.9,110.1,4.8,54.1,1.59,15.9,26.9,70,48.1,13.5,54.2,58.1,98.39,49.8,"8,130"
pacers-19,19,11,22019,pacers,82,48,34,109.4,106,3.4,62.8,1.9,18.9,26.9,72.2,49.9,13.9,53,56.1,98.64,52.7,"8,097"
clippers-19,19,12,22019,clippers,82,48,34,111.4,110.4,1,58.2,1.65,17.1,26.3,72.2,50,14.1,52.9,57.5,102.66,50.5,"8,475"
lakers-19,19,13,22019,lakers,82,37,45,107.4,108.9,-1.6,60,1.63,17.8,27,72.5,50.2,15,52.7,55.4,103.6,49.5,"8,534"
grizzlies-19,19,14,22019,grizzlies,82,33,49,105.6,108,-2.4,63.1,1.71,17.9,24.7,72.4,48.4,14.3,50.8,54.8,97.15,49,"8,038"
heat-19,19,15,22019,heat,82,39,43,106.7,107.1,-0.4,61.2,1.65,17.6,29.1,73.1,50.9,14.9,51.5,54.2,98.73,50.1,"8,122"
bucks-19,19,16,22019,bucks,82,60,22,113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3,"8,533"
timberwolves-19,19,17,22019,timberwolves,82,36,46,110.6,112.2,-1.6,59.1,1.88,17.4,29.2,70.9,49.7,12.9,51.1,55.2,100.88,49.8,"8,341"
pelicans-19,19,18,22019,pelicans,82,33,49,110.7,112,-1.3,61.9,1.82,18.6,28.5,72.9,50.9,14.2,52.9,56.3,103.89,49.8,"8,553"
knicks-19,19,19,22019,knicks,82,17,65,104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2,"8,244"
thunder-19,19,20,22019,thunder,82,49,33,109.8,106.5,3.4,54.8,1.67,16.3,29.8,73.8,50.9,13.4,51.4,54.5,103.38,50.6,"8,549"
magic-19,19,21,22019,magic,82,42,40,108.2,107.6,0.6,63.2,1.94,18.6,25.9,75.4,50.4,13.3,51.8,55,98.65,50.8,"8,133"
76ers-19,19,22,22019,76ers,82,51,31,111.6,109,2.6,64.8,1.8,18.7,27.8,74.1,51.7,14.4,53.2,57.4,102.59,52.9,"8,467"
suns-19,19,23,22019,suns,82,19,63,105.3,114.2,-8.9,59.5,1.53,17.3,24.7,68.3,46.4,15.3,51.4,55.2,101.15,45,"8,371"
blazers-19,19,24,22019,blazers,82,53,29,113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1,"8,269"
kings-19,19,25,22019,kings,82,39,43,109.6,110.8,-1.2,58.8,1.9,17.7,26.8,71.3,48.7,12.8,52.4,55.4,103.88,49.5,"8,545"
spurs-19,19,26,22019,spurs,82,48,34,112.2,110.6,1.6,58,2.03,18.1,24.6,74.4,50.1,12.2,53.4,57.2,98.88,51.6,"8,162"
raptors-19,19,27,22019,raptors,82,58,24,112.6,106.8,5.8,60.3,1.81,18.2,26.5,72.6,50.2,13.8,54.3,57.9,100.51,53.3,"8,334"
jazz-19,19,28,22019,jazz,82,50,32,110.3,105.3,5,64.4,1.72,18.5,27.5,75.9,52.2,14.9,53.8,57.2,100.84,53.9,"8,308"
wizards-19,19,29,22019,wizards,82,32,50,110.2,112.9,-2.7,62.3,1.87,18.4,25.2,70.6,47.7,13.6,53.1,56.7,102.23,48.7,"8,486"
hawks-20,20,0,22020,hawks,67,20,47,107,114.4,-7.4,58.9,1.48,16.9,26.7,70.8,48.4,15.5,51.5,55.4,103.28,45.4,"6,999"
celtics-20,20,1,22020,celtics,72,48,24,112.8,106.5,6.3,55.7,1.66,16.7,28.3,73.1,50.9,13.7,53.1,57,99.92,53.1,"7,255"
nets-20,20,2,22020,nets,72,35,37,108.7,109.2,-0.5,60.6,1.6,17.3,28,73.6,51.1,14.8,52,55.4,101.7,50,"7,404"
hornets-20,20,3,22020,hornets,65,23,42,105.9,112.8,-7,63.9,1.63,17.7,28,70.6,48.6,15,50.4,53.9,96.24,45.5,"6,317"
bulls-20,20,4,22020,bulls,65,22,43,105.8,108.9,-3.1,58.7,1.5,16.9,26.7,71.9,48.1,15.3,51.5,54.7,100.46,46.6,"6,563"
cavs-20,20,5,22020,cavs,65,19,46,106.9,114.8,-7.9,57.3,1.4,16.8,29.6,73.8,51.2,16.5,52.2,55.3,99.17,45.3,"6,497"
mavericks-20,20,6,22020,mavericks,75,43,32,115.9,111.2,4.8,59.2,1.94,17.7,27.5,74,50.9,12.6,54.5,58.1,99.89,52.1,"7,569"
nuggets-20,20,7,22020,nuggets,73,46,27,112.6,110.4,2.2,63.6,1.94,19.1,29.4,72.5,50.9,13.9,53.5,56.7,97.64,51.7,"7,217"
pistons-20,20,8,22020,pistons,66,20,46,108.8,112.3,-3.5,61.2,1.58,17.7,27.7,71.7,49.3,15.5,52.9,56.1,97.86,47.3,"6,507"
warriors-20,20,9,22020,warriors,65,15,50,104.4,113,-8.6,66.3,1.72,18.2,25.5,72.2,48.1,14.6,49.7,54,101.04,46.2,"6,623"
rockets-20,20,10,22020,rockets,72,44,28,112.5,109.8,2.7,53,1.47,15.5,24.9,71.3,48,14,53.7,57.8,104.04,49.4,"7,539"
pacers-20,20,11,22020,pacers,73,45,28,109.5,107.5,1.9,61.4,1.95,18.9,24.3,71.8,48.7,13.2,53.4,56.5,99.41,52,"7,299"
clippers-20,20,12,22020,clippers,72,49,23,113.3,106.9,6.3,57.1,1.63,16.9,27.8,73.7,51.5,14.2,53.5,57.7,102.16,53.2,"7,396"
lakers-20,20,13,22020,lakers,71,52,19,111.7,106.1,5.6,60,1.67,18,28.3,73.7,51.2,14.9,54.2,57.3,101.2,53.9,"7,211"
grizzlies-20,20,14,22020,grizzlies,73,34,39,108.7,109.7,-1,63.3,1.77,18.7,27.1,73.3,50.6,14.7,52.8,56.1,103.31,50.7,"7,562"
heat-20,20,15,22020,heat,73,44,29,111.9,109.3,2.7,65.7,1.74,18.8,25.7,75.3,51.2,14.9,54.7,58.7,98.7,52.5,"7,306"
bucks-20,20,16,22020,bucks,73,56,17,111.9,102.5,9.4,59.8,1.71,18,24.1,77.5,52.4,14.2,55.2,58.3,105.51,56.2,"7,739"
timberwolves-20,20,17,22020,timberwolves,64,19,45,107.6,111.6,-4,59,1.55,16.7,26.4,73.1,48.8,14.6,51.4,55.1,103.94,47.2,"6,736"
pelicans-20,20,18,22020,pelicans,72,30,42,110.5,111.8,-1.3,63,1.64,18.4,28.7,72.9,50.8,15.6,53.9,56.8,103.89,49.5,"7,548"
knicks-20,20,19,22020,knicks,66,21,45,105.9,112.4,-6.5,55.2,1.54,16,30,74.2,51.3,14.3,50.1,53.1,99.11,46.1,"6,594"
thunder-20,20,20,22020,thunder,72,44,28,110.1,108.1,2.1,54.3,1.58,16.3,24.1,72.8,49.2,13.7,53,57.3,99.42,51.9,"7,218"
magic-20,20,21,22020,magic,73,33,40,107.9,109.2,-1.3,60.8,1.86,17.5,26.7,74.9,50,12.9,50.6,54.4,98.99,49.6,"7,255"
76ers-20,20,22,22020,76ers,73,43,30,110.7,108.4,2.3,62.8,1.82,18.5,28.1,75.3,51.6,14.2,53.4,56.6,99.59,52.3,"7,304"
suns-20,20,23,22020,suns,73,34,39,111.3,110.8,0.5,66.1,1.84,19.2,26.1,73.4,49.8,14.5,53.2,57.6,101.74,51.2,"7,449"
blazers-20,20,24,22020,blazers,74,35,39,113.2,114.3,-1.1,48.8,1.61,15.2,26.6,71.2,49.2,12.6,53.3,57,101.17,48.6,"7,519"
kings-20,20,25,22020,kings,72,31,41,109.5,111.4,-1.9,58.2,1.64,17.4,25.8,73.6,49.2,14.4,53.4,56.6,99.6,47.9,"7,239"
spurs-20,20,26,22020,spurs,71,32,39,111.7,112.6,-0.9,58.5,1.96,17.9,23.3,75.1,49.5,12.3,53.1,57.2,101.14,50.2,"7,249"
raptors-20,20,27,22020,raptors,72,53,19,110.8,104.7,6.1,62.7,1.7,18.1,25.6,72.1,49.6,14.6,53.6,57.4,101.19,53,"7,328"
jazz-20,20,28,22020,jazz,72,44,28,111.8,109.3,2.5,56,1.48,16.8,26.1,74.6,51.2,15.2,54.9,58.5,99.15,51.3,"7,169"
wizards-20,20,29,22020,wizards,72,25,47,110.2,114.7,-4.5,60.2,1.77,17.6,26.2,71.2,47.8,13.6,52.3,56.2,103.38,47.3,"7,475"
hawks-21,21,0,22021,hawks,72,41,31,114.3,112.1,2.2,59.1,1.82,17.6,28.4,74.2,51.6,13.3,53.9,58.1,98.68,51.1,"7,160"
celtics-21,21,1,22021,celtics,72,36,36,113.1,111.8,1.2,56.6,1.67,17.1,28.9,73.7,51,14.1,54.3,57.4,98.94,50.1,"7,172"
nets-21,21,2,22021,nets,72,48,24,117.3,113.1,4.2,62.1,1.98,19.3,25.2,72.6,50.3,13.4,57.5,61,100.27,53.2,"7,280"
hornets-21,21,3,22021,hornets,72,33,39,110.1,112,-1.9,67.2,1.81,19.2,27.6,72.2,49.6,14.9,53.2,56.4,99,48.9,"7,159"
bulls-21,21,4,22021,bulls,72,31,41,110.4,111.5,-1.1,63.5,1.77,19.2,26.7,76.7,51.9,15.1,54.7,57.5,99.58,49.9,"7,220"
cavs-21,21,5,22021,cavs,72,22,50,105.2,113.5,-8.3,61.8,1.54,17.5,28,72.9,49.9,15.7,50.8,54.3,97.96,46,"7,107"
mavericks-21,21,6,22021,mavericks,72,42,30,114.6,112.3,2.3,55.7,1.9,17.2,25.3,73.4,49.6,12.3,55,58.2,97.94,51,"7,062"
nuggets-21,21,7,22021,nuggets,72,47,25,116.3,111.5,4.8,62.1,1.99,19.3,29.2,75.1,52.2,13.6,55.7,58.8,97.74,52.5,"7,123"
pistons-21,21,8,22021,pistons,72,20,52,107.6,112.2,-4.5,62.6,1.62,17.8,26.7,72.5,49.3,15.1,51.9,55.6,98.19,47.3,"7,132"
warriors-21,21,9,22021,warriors,72,39,33,110.5,109.4,1.1,67,1.84,19.6,22.2,72.7,48,14.6,55.1,58.3,102.81,51,"7,412"
rockets-21,21,10,22021,rockets,72,17,55,107,114.4,-7.4,60.1,1.6,17.2,24,72.3,47.4,14.5,52.1,55.3,101.69,45.1,"7,320"
pacers-21,21,11,22021,pacers,72,34,38,111.9,111.9,0.1,63.3,2.02,19.2,24.7,70.1,47.6,13.1,54.2,57.5,102.05,50.2,"7,419"
clippers-21,21,12,22021,clippers,72,47,25,116.7,110.6,6.1,58.4,1.85,18.1,27,75.4,51.8,13.5,56.4,59.9,97.63,53,"7,036"
lakers-21,21,13,22021,lakers,72,42,30,109.8,106.8,2.9,60.7,1.62,18,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,"7,184"
grizzlies-21,21,14,22021,grizzlies,72,38,34,111.7,110.5,1.2,62.8,2.03,18.9,28.5,73.6,50.7,13.1,52.8,56,100.77,51.1,"7,302"
heat-21,21,15,22021,heat,72,40,32,110.6,110.7,-0.1,67.1,1.87,19.5,24,73.3,49.1,14.4,54.6,58.1,97.09,50.9,"7,036"
bucks-21,21,16,22021,bucks,72,46,26,116.5,110.7,5.8,56.9,1.84,18,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,"7,423"
timberwolves-21,21,17,22021,timberwolves,72,23,49,109.3,114.5,-5.3,63,1.8,18,27.1,71.7,48.4,13.9,52,55.5,101.96,46.9,"7,389"
pelicans-21,21,18,22021,pelicans,72,31,41,113,113.3,-0.3,61.2,1.78,18.3,30.2,75.5,52.7,14.4,53.7,57,100.54,50.8,"7,303"
knicks-21,21,19,22021,knicks,72,41,31,110.2,107.8,2.4,54.3,1.65,16.3,26.4,73.8,50.5,13.3,52.4,55.9,96.32,50.2,"6,994"
thunder-21,21,20,22021,thunder,72,22,50,102.8,113.4,-10.6,56.8,1.37,16.1,25.4,74.2,49.4,15.8,50.9,53.9,101.61,44.2,"7,353"
magic-21,21,21,22021,magic,72,21,51,104.6,113.9,-9.3,57,1.7,16.3,25.2,74.4,48.8,12.9,49,52.7,99.17,45,"7,158"
76ers-21,21,22,22021,76ers,72,49,23,112.5,107,5.5,57.2,1.64,17.2,27.7,73.7,51.1,14.3,54.1,57.9,100.12,53.6,"7,272"
suns-21,21,23,22021,suns,72,51,21,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50,12.6,56.4,59.7,98,53.4,"7,137"
blazers-21,21,24,22021,blazers,72,42,30,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54,57.7,98.97,49.3,"7,137"
kings-21,21,25,22021,kings,72,31,41,112.7,116.5,-3.8,59.9,1.91,18.4,25.3,71.3,48.2,13.3,54.9,57.8,100.71,48.1,"7,266"
spurs-21,21,26,22021,spurs,72,33,39,110.5,112,-1.5,58.4,2.14,17.9,24.3,73.3,48.5,11.3,51.7,55.4,99.45,49.3,"7,236"
raptors-21,21,27,22021,raptors,72,27,45,111.6,112,-0.4,60.7,1.82,17.7,25.6,71.6,47.9,13.3,52.9,56.7,99.57,48.6,"7,177"
jazz-21,21,28,22021,jazz,72,52,20,116.5,107.5,9,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54.2,"7,193"
wizards-21,21,29,22021,wizards,72,34,38,110.7,112.3,-1.6,59,1.77,17.8,25,73.6,49.4,13.7,53.1,56.9,104.67,49.6,"7,585"
hawks-22,22,0,22022,hawks,82,43,39,115.4,113.7,1.6,59.3,2.08,18.1,26.9,73.1,50.1,12,54.3,58.1,98.67,50.9,"8,099"
celtics-22,22,1,22022,celtics,82,51,31,113.6,106.2,7.4,60.9,1.82,18.2,27.7,72.5,50.9,13.9,54.2,57.8,97.26,54.7,"8,068"
nets-22,22,2,22022,nets,82,44,38,113.2,112.3,0.9,60.2,1.8,18.3,28.1,70.4,49.9,14.1,54,57.6,99.4,51.2,"8,177"
hornets-22,22,3,22022,hornets,82,43,39,113.6,113.1,0.5,65.6,2.12,19.6,27,70.6,48.6,13.1,54.4,57.2,100.52,50.4,"8,322"
bulls-22,22,4,22022,bulls,82,46,36,112.7,113.2,-0.5,57.2,1.86,17.8,24.9,73.5,49.5,13,54.1,57.9,98.76,49.6,"8,124"
cavs-22,22,5,22022,cavs,82,44,38,111,108.9,2.1,63.4,1.75,18.7,27.7,72.4,50.6,14.8,53.8,57.1,96.83,51.7,"7,964"
mavericks-22,22,6,22022,mavericks,82,52,30,112.5,109.1,3.5,59.5,1.87,17.8,25.6,73.3,49.6,13,53.8,57.2,95.64,51.1,"7,871"
nuggets-22,22,7,22022,nuggets,82,48,34,113.8,111.5,2.3,66.7,1.92,20,26.8,75.2,51.5,14.6,55.6,59,98.41,51.6,"8,123"
pistons-22,22,8,22022,pistons,82,23,59,105.6,113.3,-7.7,61.5,1.65,17.1,27.6,70.7,48.1,14.3,49.4,53.3,98.81,45,"8,141"
warriors-22,22,9,22022,warriors,82,53,29,112.1,106.6,5.5,66.9,1.82,19.5,26.9,73.6,51,15,55.2,58.2,98.74,53.6,"8,121"
rockets-22,22,10,22022,rockets,82,20,62,108.1,116.4,-8.3,59.8,1.43,17.1,26.5,71,48.5,16.2,53.4,56.5,101.16,45.1,"8,323"
pacers-22,22,11,22022,pacers,82,25,57,111.9,115.5,-3.6,61.2,1.76,18.1,31,72.5,51.2,14.5,53.1,56.4,98.55,47.8,"8,166"
clippers-22,22,12,22022,clippers,82,42,40,109.5,109.5,0,59.9,1.75,17.7,25.4,70.6,48.6,13.9,53.1,56.4,98.51,50.2,"8,121"
lakers-22,22,13,22022,lakers,82,33,49,110,112.8,-2.9,57.6,1.65,17.3,25.6,72,49,14.2,53.7,56.7,100.47,48.2,"8,360"
grizzlies-22,22,14,22022,grizzlies,82,56,26,114.3,108.9,5.3,59.7,1.97,17.9,33.8,72.6,52.6,13,52.2,55.3,100.52,53,"8,295"
heat-22,22,15,22022,heat,82,53,29,113,108.4,4.5,64.4,1.75,18.8,27.8,73.5,51,14.9,54.7,58.4,96.53,52.9,"7,987"
bucks-22,22,16,22022,bucks,82,51,31,114.3,111.1,3.2,57.2,1.78,17.3,26.9,74.7,51.2,13.3,54.6,58,100.59,51.6,"8,284"
